field_id,field_name,commodity_2023,field_acres,year,yield_bu_ac,avg_temp_c,max_temp_c,min_temp_c,annual_precip_mm,avg_rh_pct,avg_wind_m_s
F036,Golden Fields,Soybeans,156,2023,51.2,13.55972602739726,43.1,-19.2,313.3,68.48575342465753,5.71013698630137
F037,Old Orchard,Corn,156,2023,197.2,13.176712328767124,41.6,-18.0,331.5,68.7041095890411,5.473972602739726
F038,Wildflower,Wheat,158,2023,49.8,13.462191780821918,42.7,-18.4,326.9,68.50821917808219,5.733972602739726
F039,Clover Creek,Wheat,161,2023,64.8,12.574794520547945,42.9,-17.2,344.0,68.94520547945206,5.7194520547945205
F040,Marsh View,Wheat,228,2023,45.9,13.67013698630137,43.0,-16.2,265.3,68.27479452054794,5.752602739726027
F041,Riverside,Soybeans,126,2023,60.4,13.302465753424656,41.6,-17.4,265.8,68.11287671232877,5.583013698630137
F042,Lakeside,Soybeans,237,2023,71.0,13.282739726027398,43.2,-21.9,400.0,69.64328767123287,5.509041095890411
F043,Mountain View,Corn,181,2023,180.1,14.34054794520548,46.7,-15.6,332.5,67.45123287671233,5.834520547945205
F044,Valley View,Alfalfa,116,2023,9.3,13.72849315068493,41.9,-16.8,313.9,69.34657534246575,5.6189041095890415
F045,Forest Edge,Wheat,87,2023,66.9,13.215616438356165,43.7,-16.9,264.5,68.8309589041096,5.656438356164383
F046,Woodland,Alfalfa,87,2023,8.9,11.768219178082191,40.1,-20.5,313.2,69.64904109589041,5.581095890410959
F047,Stone Creek,Wheat,100,2023,43.4,12.752328767123288,43.0,-14.6,338.6,68.29534246575342,5.533150684931506
F048,Sand Ridge,Wheat,166,2023,46.1,12.371232876712329,42.5,-17.1,288.0,68.12027397260275,5.565479452054794
F049,Rocky Hill,Soybeans,112,2023,73.6,14.48027397260274,42.8,-16.8,199.1,67.58438356164383,5.827945205479452
F050,Quiet Acres,Corn,78,2023,204.2,13.571780821917807,45.0,-15.1,382.3,68.71561643835616,5.804109589041096
F051,Hidden Valley,Wheat,159,2023,48.1,13.501917808219178,42.7,-18.1,343.0,70.2868493150685,5.7126027397260275
F052,Dew Point,Alfalfa,137,2023,11.8,13.518904109589041,42.2,-18.4,261.5,68.93095890410959,5.578356164383561
F053,Morning Mist,Alfalfa,197,2023,10.4,13.998904109589041,41.7,-17.3,368.3,68.32,5.726849315068494
F054,Evening Shade,Wheat,163,2023,43.7,14.950410958904108,45.2,-17.0,267.0,68.51808219178082,5.756712328767123
F055,Sunrise Field,Corn,171,2023,209.9,13.000273972602741,45.1,-16.3,261.3,69.05863013698631,5.62986301369863
F056,Sunset Meadow,Wheat,242,2023,66.3,13.894794520547947,50.1,-16.5,219.4,69.2386301369863,5.802191780821918
F057,Twilight Pasture,Corn,130,2023,237.8,13.018904109589041,41.7,-18.5,372.9,69.5641095890411,5.607397260273973
F058,Dawn Creek,Soybeans,98,2023,61.7,12.724383561643835,42.6,-19.9,307.4,69.1690410958904,5.6695890410958905
F059,Dusk Valley,Wheat,96,2023,43.5,13.520547945205479,43.9,-18.6,297.5,68.01178082191781,5.760547945205479
F060,Blue Sky,Soybeans,66,2023,68.5,12.273150684931506,44.5,-22.1,325.8,68.71835616438356,5.453150684931507
F061,Green Leaf,Corn,104,2023,187.8,13.119452054794522,42.4,-17.6,232.1,68.82109589041096,5.68
F062,Golden Sun,Corn,226,2023,210.0,13.393972602739726,41.8,-18.9,236.2,68.8972602739726,5.750684931506849
F063,Silver Moon,Alfalfa,202,2023,11.2,14.395342465753425,44.4,-17.3,339.8,70.32684931506849,5.791232876712329
F064,Red Barn,Corn,171,2023,223.5,14.859178082191782,46.5,-17.9,264.8,70.02054794520548,5.7753424657534245
F065,White Fence,Soybeans,202,2023,67.1,12.742465753424657,44.1,-16.8,292.5,68.88575342465754,5.514794520547945
F066,Old Mill,Corn,111,2023,215.1,12.605205479452053,40.4,-17.3,300.6,69.5172602739726,5.5389041095890414
F067,Country Road,Soybeans,215,2023,65.2,13.585753424657534,43.2,-18.7,318.5,69.50246575342466,5.64
F068,Farm House,Corn,66,2023,234.7,13.71013698630137,43.3,-16.8,246.3,69.10383561643836,5.673698630136987
F069,Pond Side,Corn,66,2023,240.3,12.554246575342466,45.3,-18.1,370.0,69.49369863013699,5.632328767123288
F070,Woods Edge,Soybeans,107,2023,54.4,13.28986301369863,42.3,-16.0,304.9,67.67150684931507,5.599726027397261
F071,Garden Spot,Alfalfa,70,2023,10.1,13.152054794520549,41.6,-18.3,319.0,68.6841095890411,5.676986301369863
F072,Harvest Moon,Wheat,194,2023,52.2,14.747671232876712,49.6,-15.0,327.7,69.93808219178082,5.643561643835617
F073,Spring Rain,Soybeans,225,2023,75.7,13.685205479452057,44.1,-19.2,204.4,68.6145205479452,5.69917808219178
F074,Winter Snow,Corn,228,2023,199.1,13.195890410958905,41.4,-16.2,253.1,67.87698630136985,5.594520547945206
F075,Summer Heat,Alfalfa,215,2023,11.0,13.157260273972602,42.0,-16.6,317.0,69.08958904109589,5.416712328767123
F076,Fall Leaves,Soybeans,176,2023,74.8,13.875068493150684,43.9,-15.0,254.5,69.43424657534247,5.652054794520548
F077,North Ridge,Soybeans,185,2023,78.7,14.733424657534247,44.3,-15.8,227.8,68.73205479452055,5.698630136986301
F078,South Slope,Alfalfa,238,2023,10.6,13.823561643835617,45.8,-15.7,320.3,69.18712328767123,5.628493150684932
F079,East Valley,Soybeans,174,2023,67.5,14.274794520547946,42.1,-14.8,326.7,67.65506849315068,5.6997260273972605
F080,West Hill,Wheat,172,2023,43.4,12.996986301369862,40.6,-17.7,275.6,68.64794520547945,5.538356164383561
F081,Center Field,Corn,220,2023,226.8,13.555068493150685,42.6,-19.7,269.5,68.6972602739726,5.52986301369863
F082,Middle Pasture,Alfalfa,78,2023,12.0,14.508219178082191,43.6,-16.0,362.0,68.04767123287671,5.751780821917809
F083,Upper Meadow,Wheat,221,2023,54.8,13.43013698630137,42.0,-15.7,294.0,68.59150684931507,5.781643835616439
F084,Lower Creek,Alfalfa,207,2023,10.7,14.339178082191781,43.3,-15.5,271.1,67.92109589041097,5.660821917808219
F085,Upper Ridge,Alfalfa,138,2023,11.7,13.406301369863014,42.6,-13.6,295.0,69.6358904109589,5.796438356164383
F086,Lower Valley,Corn,114,2023,188.4,12.922739726027398,42.3,-17.1,314.6,68.32054794520548,5.523287671232877
F087,Highland,Alfalfa,247,2023,11.0,14.233698630136987,43.5,-16.8,285.5,68.2613698630137,5.588493150684932
F088,Lowland,Corn,74,2023,213.8,14.086301369863014,44.3,-17.8,315.0,70.04547945205479,5.713424657534246
F089,Prime Acres,Corn,56,2023,204.1,14.815890410958904,45.0,-13.2,274.8,68.30712328767123,5.722739726027398
F090,Heritage Farm,Wheat,58,2023,48.6,14.82054794520548,46.5,-19.2,312.4,69.92109589041097,5.7904109589041095
F091,Family Fields,Soybeans,98,2023,76.5,13.703287671232877,44.2,-16.5,357.1,69.62191780821918,5.646027397260275
F092,Legacy Pasture,Corn,174,2023,194.4,13.243013698630136,41.9,-17.2,376.2,69.1358904109589,5.59013698630137
F093,Founders Field,Alfalfa,98,2023,11.6,12.752328767123288,43.0,-14.6,338.6,68.29534246575342,5.533150684931506
F094,Pioneer Plot,Alfalfa,199,2023,10.1,13.026849315068494,40.8,-17.3,320.9,69.13123287671233,5.593424657534246
F095,Settlement Field,Wheat,54,2023,68.9,12.457534246575342,42.8,-17.5,430.4,69.69808219178081,5.631780821917808
F096,Homestead Meadow,Soybeans,242,2023,65.8,13.157260273972602,42.0,-16.6,317.0,69.08958904109589,5.416712328767123
F097,Colonial Creek,Alfalfa,116,2023,11.0,13.393972602739726,41.8,-18.9,236.2,68.8972602739726,5.750684931506849
F098,Historic Farm,Corn,180,2023,245.4,14.57123287671233,43.4,-16.5,286.6,69.97397260273972,5.8002739726027395
F099,Liberty Field,Soybeans,54,2023,49.2,14.22054794520548,44.3,-15.8,290.3,68.38219178082191,5.502739726027397
F100,Freedom Pasture,Wheat,150,2023,68.4,13.621095890410958,43.6,-17.4,302.4,69.98876712328767,5.693972602739726
F101,Prairie Wind,Wheat,214,2023,65.7,12.823287671232876,40.7,-19.5,418.0,68.8786301369863,5.6408219178082195
F102,Golden Harvest,Wheat,156,2023,49.3,13.662465753424659,42.3,-18.2,369.5,68.85342465753425,5.844383561643835
F103,Sunny Slope,Wheat,236,2023,56.8,13.237534246575342,43.4,-17.7,245.0,68.86958904109589,5.716164383561644
F104,Rolling Hills,Soybeans,56,2023,64.7,13.169315068493152,44.4,-19.9,262.6,68.68575342465753,5.427397260273972
F105,Meadow Brook,Wheat,213,2023,41.5,12.004109589041096,42.5,-18.6,398.8,70.00904109589041,5.537808219178082
F106,Old Farmstead,Soybeans,241,2023,77.7,12.542739726027397,43.9,-16.2,244.1,69.55506849315069,5.565479452054794
F107,River Valley,Soybeans,247,2023,49.1,14.227945205479452,44.3,-15.8,313.1,68.25123287671234,5.776164383561644
F108,Creek Side,Soybeans,235,2023,51.4,11.713150684931508,42.6,-19.5,393.1,70.47972602739726,5.50027397260274
F109,Hilltop View,Alfalfa,53,2023,12.2,12.426027397260274,43.3,-16.7,308.8,70.0931506849315,5.456986301369863
F110,Valley Floor,Alfalfa,218,2023,8.5,13.875068493150684,43.9,-15.0,254.5,69.43424657534247,5.652054794520548
F111,North Pasture,Soybeans,193,2023,60.5,12.361917808219179,41.8,-19.0,287.8,68.9213698630137,5.603287671232877
F112,South Meadow,Alfalfa,124,2023,9.9,13.527397260273972,42.9,-15.8,279.9,69.57150684931507,5.52027397260274
F113,East Ridge,Alfalfa,80,2023,10.3,13.716986301369863,43.9,-17.5,298.5,69.24520547945205,5.684931506849315
F114,West Field,Corn,127,2023,203.1,13.341643835616438,43.4,-17.7,293.9,68.83041095890411,5.456712328767123
F115,Center Pasture,Alfalfa,208,2023,10.8,11.975342465753425,39.9,-19.2,317.5,68.83643835616438,5.581643835616438
F116,Corner Plot,Corn,162,2023,216.9,13.644931506849314,42.5,-14.5,243.2,68.82109589041096,5.701369863013698
F117,Back Forty,Alfalfa,82,2023,9.2,13.110684931506848,44.0,-17.2,256.1,69.27863013698631,5.64931506849315
F118,Front Acres,Alfalfa,164,2023,9.8,13.71178082191781,42.1,-16.4,337.6,69.30082191780822,5.806027397260274
F119,Home Farm,Corn,202,2023,215.0,11.995342465753426,44.2,-19.9,279.2,68.53369863013698,5.633424657534246
F120,Cross Creek,Alfalfa,121,2023,10.6,14.632054794520547,43.6,-16.7,262.5,68.82191780821918,5.8523287671232875
F121,Deep Water,Corn,230,2023,219.4,13.427397260273972,41.3,-14.7,260.1,68.45287671232876,5.64
F122,Sandy Loam,Alfalfa,241,2023,11.3,13.094794520547946,42.7,-20.6,356.3,68.89753424657533,5.577260273972603
F123,Clay Bank,Wheat,237,2023,56.7,12.426027397260274,43.3,-16.7,308.8,70.0931506849315,5.456986301369863
F124,Gravel Pit,Wheat,72,2023,54.5,13.523835616438356,40.6,-17.8,304.7,68.96273972602741,5.794794520547945
F125,Timber Edge,Corn,217,2023,225.1,12.605479452054794,41.9,-18.5,296.0,69.50931506849315,5.630410958904109
F126,Oak Hill,Corn,224,2023,207.4,15.250410958904109,44.4,-17.2,305.3,69.96520547945205,5.901917808219178
F127,Maple Grove,Alfalfa,77,2023,9.5,13.163561643835616,41.3,-17.4,399.0,68.58,5.494520547945205
F128,Cedar Lane,Soybeans,226,2023,65.0,12.314246575342466,41.4,-17.9,319.0,68.76876712328767,5.672054794520548
F129,Pine Ridge,Soybeans,176,2023,66.3,14.891506849315068,43.1,-15.4,297.7,69.69315068493151,5.683835616438356
F130,Birch Run,Alfalfa,80,2023,8.6,14.651232876712328,45.0,-14.7,285.7,68.91342465753425,5.715890410958905
F131,Willow Bend,Soybeans,141,2023,76.2,14.48027397260274,42.8,-16.8,199.1,67.58438356164383,5.827945205479452
F132,Elm Creek,Corn,241,2023,178.6,12.433150684931508,43.0,-18.3,341.5,68.79643835616439,5.489041095890411
F133,Ash Grove,Corn,236,2023,206.1,12.23890410958904,41.4,-18.4,265.6,67.40630136986302,5.530958904109589
F134,Spruce Point,Wheat,109,2023,72.6,13.15972602739726,41.4,-16.3,282.6,69.15424657534247,5.706027397260273
F135,Fir Branch,Wheat,224,2023,71.7,15.006849315068493,44.0,-16.3,284.3,69.0358904109589,5.752328767123287
F136,Juniper Field,Alfalfa,94,2023,8.8,13.09945205479452,43.8,-16.6,260.8,68.41780821917808,5.384383561643835
F137,Cypress Swamp,Soybeans,90,2023,66.3,12.359178082191782,42.0,-20.0,310.8,68.68273972602739,5.652602739726027
F138,Redbud Patch,Corn,183,2023,235.7,14.891506849315068,43.1,-15.4,297.7,69.69315068493151,5.683835616438356
F139,Dogwood Corner,Soybeans,193,2023,78.5,14.821369863013699,44.3,-14.4,284.1,69.99095890410959,5.736712328767124
F140,Magnolia Plot,Soybeans,225,2023,80.5,13.05945205479452,43.4,-17.6,287.2,68.54520547945205,5.701917808219178
F141,Hickory Hollow,Wheat,192,2023,66.3,11.936712328767122,42.7,-17.2,286.6,69.66356164383562,5.662191780821917
F142,Walnut Grove,Corn,154,2023,239.5,13.040000000000001,40.6,-15.9,300.5,69.10356164383562,5.664931506849315
F143,Chestnut Hill,Corn,208,2023,176.9,14.0413698630137,43.4,-17.1,324.4,68.33424657534246,5.709315068493151
F144,Sycamore Ridge,Corn,244,2023,246.5,14.168219178082191,43.3,-14.3,279.7,67.73205479452055,5.621095890410959
F145,Poplar Field,Alfalfa,209,2023,10.6,14.45945205479452,49.2,-14.8,316.7,68.34301369863014,5.682191780821918
F146,Cotton Row,Soybeans,234,2023,47.0,13.535616438356165,44.1,-15.3,282.4,68.92931506849315,5.7315068493150685
F147,Tobacco Barn,Corn,177,2023,203.2,14.124109589041096,46.2,-18.6,252.8,69.03479452054795,5.615342465753424
F148,Corn Patch,Corn,132,2023,180.0,14.556164383561644,44.8,-16.4,363.6,69.68164383561644,5.808219178082192
F149,Soybean Field,Alfalfa,174,2023,9.3,14.624383561643835,41.7,-17.4,362.8,69.98301369863013,5.692328767123287
F150,Wheat Acre,Corn,180,2023,230.1,13.216712328767125,41.8,-16.7,238.70000000000002,68.89068493150684,5.64986301369863
F151,Alfalfa Stand,Wheat,186,2023,72.8,12.542739726027397,43.9,-16.2,244.1,69.55506849315069,5.565479452054794
F152,Clover Field,Soybeans,142,2023,65.7,13.36,42.6,-18.8,428.0,69.3,5.772328767123288
F153,Bluegrass Pasture,Soybeans,205,2023,80.4,13.946849315068494,44.6,-15.9,373.8,68.46904109589042,5.752054794520548
F154,Fescue Meadow,Soybeans,158,2023,46.8,13.736438356164385,43.5,-17.0,308.09999999999997,69.23260273972603,5.651232876712328
F155,Timothy Lot,Alfalfa,183,2023,10.3,13.998630136986302,42.8,-15.5,336.1,67.93808219178082,5.617808219178082
F156,Brome Grass,Soybeans,76,2023,56.6,13.535616438356165,44.1,-15.3,282.4,68.92931506849315,5.7315068493150685
F157,Orchard Row,Corn,89,2023,191.8,13.662465753424659,42.3,-18.2,369.5,68.85342465753425,5.844383561643835
F158,Vineyard Hill,Wheat,77,2023,48.2,14.815890410958904,45.0,-13.2,274.8,68.30712328767123,5.722739726027398
F159,Berry Patch,Wheat,191,2023,57.2,13.696712328767124,42.3,-16.1,390.5,69.58904109589041,5.572876712328767
F160,Vegetable Plot,Alfalfa,168,2023,11.7,13.505205479452053,43.2,-15.7,322.9,69.30219178082191,5.497808219178082
F161,Garden Row,Alfalfa,180,2023,8.8,14.278082191780822,45.0,-15.9,297.3,69.35534246575342,5.506301369863014
F162,Orchard Acre,Corn,145,2023,181.2,12.739178082191781,41.1,-18.8,303.6,68.5731506849315,5.568767123287671
F163,Fruit Grove,Wheat,204,2023,58.2,13.051780821917808,43.4,-15.7,303.5,68.28876712328767,5.568767123287671
F164,Nut Orchard,Alfalfa,150,2023,7.4,14.57068493150685,47.9,-16.3,329.7,69.09260273972602,5.496438356164384
F165,Silage Field,Corn,124,2023,209.9,12.640821917808218,40.9,-19.9,235.4,68.5704109589041,5.484109589041096
F166,Cover Crop,Corn,190,2023,217.4,13.586027397260272,42.9,-17.3,278.1,68.9772602739726,5.592328767123288
F167,Green Manure,Alfalfa,70,2023,9.8,12.433150684931508,43.0,-18.3,341.5,68.79643835616439,5.489041095890411
F168,Fallow Ground,Soybeans,58,2023,48.1,14.33808219178082,40.9,-19.5,287.0,69.12821917808219,5.723287671232876
F169,Set Aside,Corn,226,2023,211.5,13.32054794520548,41.9,-16.8,284.6,68.68246575342465,5.730410958904109
F170,Conservation Area,Alfalfa,172,2023,11.9,12.957808219178084,43.4,-16.0,365.1,70.48328767123289,5.707397260273972
F171,Wetland Buffer,Alfalfa,236,2023,8.8,13.792602739726028,43.6,-17.1,231.0,69.05452054794522,5.66027397260274
F172,Filter Strip,Corn,92,2023,245.4,14.18,42.0,-17.6,275.8,69.05863013698631,5.739726027397261
F173,Grass Waterway,Wheat,119,2023,69.7,12.945479452054796,41.9,-16.8,357.3,68.26712328767124,5.587945205479452
F174,Terrace Row,Wheat,156,2023,46.6,12.382191780821918,41.5,-17.2,233.7,68.09917808219178,5.485479452054794
F175,Contour Strip,Corn,127,2023,219.9,13.487123287671233,43.1,-16.6,335.09999999999997,70.13890410958905,5.646575342465753
F176,Windbreak Lane,Alfalfa,97,2023,8.4,11.604109589041096,42.3,-17.9,314.5,69.54958904109589,5.421095890410959
F177,Shelter Belt,Soybeans,58,2023,70.9,11.79041095890411,41.4,-24.4,359.8,69.71123287671233,5.367671232876712
F178,Hedgerow Field,Soybeans,206,2023,62.7,14.22054794520548,44.3,-15.8,290.3,68.38219178082191,5.502739726027397
F179,Pollinator Patch,Soybeans,89,2023,65.8,13.374246575342466,43.5,-15.0,362.3,68.97917808219178,5.646027397260275
F180,Wildlife Food Plot,Corn,116,2023,254.3,11.684383561643836,41.2,-22.0,328.6,69.90054794520549,5.531232876712329
F181,Native Prairie,Alfalfa,53,2023,10.3,13.106849315068493,42.1,-18.2,268.5,69.23917808219178,5.675068493150685
F182,Restored Wetland,Corn,157,2023,193.1,14.85013698630137,43.1,-15.8,316.1,68.44136986301369,5.71068493150685
F183,Woodland Edge,Corn,180,2023,223.5,13.692602739726027,42.9,-16.0,295.7,68.13671232876713,5.54
F184,Riparian Zone,Soybeans,141,2023,61.6,12.797808219178082,43.5,-19.5,323.6,69.85972602739726,5.666849315068493
F185,Steep Pasture,Soybeans,66,2023,55.5,12.712054794520547,42.7,-16.5,276.4,68.66849315068494,5.717260273972603
F186,Gentle Slope,Alfalfa,110,2023,8.9,13.452328767123289,42.1,-17.0,325.9,68.48630136986301,5.635890410958904
F187,Level Terrain,Alfalfa,168,2023,8.3,14.74904109589041,45.3,-14.8,272.3,69.326301369863,5.761643835616439
F188,Rolling Upland,Corn,226,2023,224.4,13.09041095890411,43.0,-16.6,364.6,69.44136986301369,5.584383561643835
F189,Bottom Floodplain,Corn,98,2023,238.0,12.892054794520549,45.1,-18.3,297.7,68.89671232876712,5.692328767123287
F190,Terrace Top,Alfalfa,86,2023,10.4,12.325479452054795,41.1,-18.1,341.7,68.83041095890411,5.687945205479452
F191,Hill Shoulder,Corn,86,2023,202.3,13.987945205479454,42.8,-17.1,299.8,69.20602739726027,5.660821917808219
F192,Valley Bottom,Wheat,122,2023,48.0,12.98958904109589,43.2,-18.6,281.2,68.23835616438356,5.456986301369863
F193,Plateau Field,Wheat,132,2023,65.8,11.800547945205478,40.8,-18.1,247.79999999999998,68.81671232876712,5.416986301369863
F194,Escarpment Edge,Alfalfa,101,2023,11.1,13.702739726027398,45.6,-15.9,310.2,68.35287671232877,5.545753424657534
F195,Draw Meadow,Alfalfa,67,2023,8.5,14.556164383561644,44.8,-16.4,363.6,69.68164383561644,5.808219178082192
F196,Seepage Area,Wheat,231,2023,70.6,12.648493150684931,41.9,-17.2,425.5,70.06767123287672,5.570958904109589
F197,Spring Fed,Alfalfa,188,2023,10.8,14.067397260273973,42.9,-16.2,323.8,69.42602739726027,5.718904109589041
F198,Rainwater Catch,Soybeans,173,2023,67.1,12.69041095890411,41.6,-19.1,342.2,70.05561643835617,5.672054794520548
F199,Irrigation Plot,Wheat,96,2023,60.6,14.767397260273974,44.8,-14.4,329.0,68.7013698630137,5.658356164383562
F200,Dry Land Acre,Wheat,123,2023,47.6,12.001095890410959,39.7,-18.4,335.6,70.00246575342466,5.606027397260274
F001,North Field,Wheat,179,2024,63.1,14.01448087431694,40.8,-16.5,300.2,68.9464480874317,5.763934426229508
F002,South Field,Soybeans,138,2024,75.0,13.145081967213116,42.0,-16.6,315.2,69.04180327868852,5.660109289617486
F003,East Field,Corn,240,2024,183.4,13.256010928961748,41.3,-16.3,298.1,69.8743169398907,5.421857923497268
F004,West Field,Alfalfa,64,2024,9.3,13.388797814207651,42.6,-20.6,269.4,68.23852459016393,5.609562841530054
F005,Valley Plot,Corn,200,2024,184.6,12.928688524590163,43.5,-17.4,311.2,69.62950819672132,5.519398907103825
F006,Hilltop Field,Soybeans,145,2024,75.7,13.160928961748633,43.3,-19.3,296.3,69.04754098360657,5.707377049180328
F007,Meadow Pasture,Soybeans,177,2024,57.4,13.391530054644809,42.5,-17.6,216.0,68.11092896174863,5.661475409836065
F008,Cropland A,Corn,145,2024,210.0,13.953825136612023,44.7,-18.1,330.1,69.30218579234972,5.638524590163934
F009,Cropland B,Soybeans,221,2024,71.2,12.614754098360656,43.5,-17.6,325.4,69.2051912568306,5.630327868852459
F010,Pasture North,Wheat,236,2024,67.0,13.841803278688525,46.8,-16.2,326.0,69.24043715846994,5.823770491803279
F011,Ridge Field,Alfalfa,161,2024,9.4,12.820491803278689,43.6,-17.2,282.6,68.28688524590164,5.6527322404371585
F012,Bottomland,Alfalfa,133,2024,10.6,12.469945355191257,41.4,-16.2,278.3,70.14945355191257,5.732513661202185
F013,Oak Grove,Corn,177,2024,220.5,13.700819672131148,40.7,-17.9,358.6,69.00437158469946,5.7398907103825145
F014,Maple Creek,Wheat,98,2024,57.3,12.987158469945356,43.9,-18.5,317.2,69.12131147540984,5.538524590163934
F015,Prairie View,Soybeans,103,2024,75.2,12.646721311475408,45.9,-17.3,320.7,69.04043715846994,5.625136612021858
F016,Spring Hill,Alfalfa,109,2024,9.9,12.8948087431694,40.0,-17.2,347.4,68.24426229508197,5.630601092896176
F017,Elm Lane,Corn,98,2024,190.6,14.005737704918033,43.4,-15.8,301.4,68.87103825136612,5.7341530054644805
F018,Cedar Rapids,Alfalfa,207,2024,9.5,14.418306010928962,46.8,-16.6,361.2,69.35300546448087,5.701912568306011
F019,Pine Haven,Soybeans,178,2024,52.2,12.719398907103825,43.2,-18.2,310.7,69.04125683060109,5.537704918032786
F020,Birch Meadow,Soybeans,225,2024,71.2,13.19016393442623,43.5,-17.2,280.6,69.09180327868852,5.437431693989071
F021,Willow Creek,Corn,209,2024,202.7,14.041256830601094,45.8,-16.7,262.2,69.83114754098361,5.7658469945355195
F022,Maple Grove,Alfalfa,130,2024,8.7,12.397540983606557,44.3,-21.5,390.9,68.83251366120219,5.68224043715847
F023,Red Oak,Soybeans,85,2024,78.2,13.492622950819673,45.8,-15.3,293.3,69.13715846994536,5.673497267759563
F024,Silver Lake,Soybeans,196,2024,60.6,12.168579234972677,41.9,-17.1,305.4,68.95027322404371,5.533879781420765
